Sl. No.,State/UT,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total,Physical Abuse (Rape) - Male,Physical Abuse (Rape) - Female,Physical Abuse (Rape) - Transgender,Physical Abuse (Rape) - Total,Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
66,Lucknow,1,0,0,1,24,40,0,64,6,6,0,12,2,24,0,26,4,0,0,4,0,1,0,1,12,9,0,21,1,0,0,1,0,0,0,0,34,26,0,60,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,1,0,0,1,7,0,0,7,0,0,0,0,14,17,0,31,2,0,0,2,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,23,4,0,27,124,29,0,153,242,119,0,361
67,Ludhiana,5,0,0,5,13,15,0,28,0,0,0,0,0,4,0,4,3,0,0,3,0,0,0,0,10,11,0,21,2,5,0,7,0,1,0,1,5,1,0,6,162,41,0,203,2,0,0,2,3,0,0,3,0,0,0,0,152,38,0,190,5,3,0,8,3,1,0,4,12,0,0,12,1,0,0,1,0,0,0,0,4,0,0,4,9,2,0,11,2,0,0,2,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,2,0,9,6,3,0,9,253,71,0,324
68,Madurai,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,137,59,0,196,54,37,0,91,0,1,0,1,0,0,0,0,2,1,0,3,8,8,0,16,44,27,0,71,6,9,0,15,67,0,0,67,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,273,108,0,381
69,Malappuram,10,1,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,4,1,1,0,2,34,11,0,45,21,19,0,40,0,0,0,0,2,0,0,2,1,0,0,1,15,15,0,30,3,4,0,7,5,1,0,6,18,0,0,18,4,0,0,4,0,0,0,0,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,105,41,0,146
70,Meerut,2,0,0,2,0,5,0,5,0,2,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,0,3,3,0,0,3,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,25,9,0,34
71,Mumbai,24,4,0,28,15,10,0,25,2,3,0,5,0,1,0,1,0,0,0,0,2,0,0,2,11,6,0,17,45,27,0,72,0,0,0,0,240,134,0,374,165,73,0,238,0,1,0,1,5,0,0,5,6,0,0,6,82,35,0,117,72,37,0,109,6,6,0,12,168,4,0,172,13,1,0,14,5,2,0,7,31,19,0,50,18,5,0,23,97,3,0,100,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,12,210,72,0,282,67,16,1,84,1120,380,1,1501
72,Nagpur,2,1,0,3,14,8,0,22,6,5,0,11,0,0,0,0,3,1,0,4,5,2,0,7,0,0,0,0,4,2,0,6,0,0,0,0,335,101,0,436,92,13,0,105,0,0,0,0,27,6,0,33,13,0,0,13,52,6,0,58,0,1,0,1,2,2,0,4,149,0,0,149,1,0,0,1,0,1,0,1,25,10,0,35,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,633,138,0,771
73,Nasik,12,0,0,12,7,3,0,10,0,0,0,0,0,0,0,0,1,0,0,1,6,3,0,9,0,0,0,0,7,5,0,12,1,2,0,3,49,25,0,74,14,5,0,19,1,0,0,1,1,3,0,4,3,1,0,4,9,1,0,10,0,0,0,0,5,4,0,9,30,0,0,30,4,1,0,5,0,0,0,0,7,9,0,16,31,2,0,33,26,0,0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,207,56,0,263
74,Patna,0,0,0,0,5,1,0,6,3,1,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,2,0,5,0,0,0,0,3,5,0,8,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,7,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,27,26,0,53
75,Prayagraj +,0,0,0,0,26,10,0,36,26,10,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,19,0,0,0,0,18,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,16,0,0,0,0,5,0,0,5,5,2,0,7,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,36,0,116
76,Pune,56,5,0,61,116,51,0,167,46,23,0,69,5,3,0,8,13,2,0,15,7,9,0,16,45,14,0,59,26,9,0,35,0,0,0,0,91,56,0,147,107,26,0,133,4,0,0,4,9,4,0,13,10,4,0,14,61,17,0,78,23,1,0,24,8,4,0,12,65,1,0,66,2,2,0,4,0,5,0,5,66,29,0,95,30,9,0,39,62,6,0,68,26,12,0,38,1,0,0,1,0,1,0,1,1,0,0,1,26,11,0,37,32,4,0,36,44,13,0,57,759,244,0,1003
77,Raipur,8,1,0,9,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,2,0,3,1,3,0,4,0,1,0,1,21,14,0,35,23,11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,17,11,0,28,0,1,0,1,7,1,0,8,0,0,0,0,0,0,0,0,11,5,0,16,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,50,8,0,58,162,41,0,203,288,91,0,379
78,Rajkot,24,0,0,24,14,22,0,36,0,0,0,0,0,0,0,0,13,15,0,28,1,2,0,3,0,5,0,5,0,4,0,4,0,0,0,0,25,37,0,62,44,42,0,86,0,0,0,0,5,2,0,7,5,0,0,5,0,0,0,0,34,40,0,74,5,3,0,8,0,0,0,0,10,6,0,16,0,0,0,0,9,12,0,21,0,0,0,0,37,0,0,37,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,32,0,0,32,54,31,0,85,84,51,0,135,342,208,0,550
79,Ranchi,0,0,0,0,51,7,0,58,9,0,0,9,17,0,0,17,18,7,0,25,7,0,0,7,0,0,0,0,31,0,0,31,1,0,0,1,0,5,0,5,5,0,0,5,1,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,6,0,0,6,6,0,0,6,1,0,0,1,1,0,0,1,36,12,0,48,0,0,0,0,13,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,163,24,0,187
80,Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,10,0,0,0,0,4,6,0,10
81,Surat,0,0,0,0,5,5,0,10,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,5,0,7,10,15,0,25,0,0,0,0,436,183,0,619,143,74,1,218,1,0,0,1,1,0,0,1,3,1,0,4,38,19,0,57,100,54,1,155,4,3,0,7,5,0,0,5,0,0,0,0,0,0,0,0,15,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,39,7,0,46,24,0,0,24,705,298,1,1004
82,Thiruvananthapuram,9,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,4,207,40,0,247,38,9,0,47,0,0,0,0,21,6,0,27,2,1,0,3,15,2,0,17,0,0,0,0,3,1,0,4,10,0,0,10,1,2,0,3,0,0,0,0,10,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,5,6,1,0,7,8,0,0,8,298,63,0,361
83,Thrissur,41,6,0,47,2,1,0,3,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,87,25,0,112,131,60,0,191,0,0,0,0,3,3,0,6,1,0,0,1,44,17,0,61,83,40,0,123,9,1,0,10,81,0,0,81,0,1,0,1,0,0,0,0,6,3,0,9,0,0,0,0,15,3,0,18,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,1,0,7,2,1,0,3,386,103,0,489
84,Tiruchirappalli,7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,56,19,1,76,35,22,0,57,0,0,0,0,2,1,0,3,2,0,0,2,9,5,0,14,22,16,0,38,0,1,0,1,36,0,0,36,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,139,46,1,186
85,Vadodara,5,2,0,7,7,4,0,11,2,4,0,6,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,7,8,0,15,0,0,0,0,7,6,0,13,32,8,0,40,1,0,0,1,12,2,0,14,9,0,0,9,2,5,0,7,8,1,0,9,2,1,0,3,1,0,0,1,2,0,0,2,0,0,0,0,5,0,0,5,5,0,0,5,7,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,101,52,0,153,0,0,0,0,189,82,0,271
86,Varanasi,0,0,0,0,12,16,0,28,1,3,0,4,0,8,0,8,0,0,0,0,0,0,0,0,11,5,0,16,0,0,0,0,0,0,0,0,7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,26,58,32,0,90,105,58,0,163
87,Vasai Virar,0,0,0,0,13,6,0,19,0,0,0,0,0,0,0,0,2,2,0,4,2,0,0,2,9,4,0,13,2,3,0,5,0,0,0,0,113,56,0,169,11,10,0,21,0,0,0,0,3,0,0,3,1,0,0,1,2,2,0,4,5,8,0,13,1,0,0,1,17,0,0,17,0,0,0,0,0,0,0,0,2,0,0,2,6,2,0,8,21,1,0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,4,0,15,7,1,0,8,210,83,0,293
88,Vijayawada,75,5,0,80,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,131,40,0,171,138,63,0,201,0,0,0,0,0,0,0,0,0,0,0,0,136,58,0,194,2,5,0,7,0,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,2,1,0,3,7,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,0,64,54,15,0,69,503,131,0,634
89,Vishakhapatnam,3,0,0,3,2,4,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,3,3,0,6,0,0,0,0,83,23,0,106,65,26,0,91,1,0,0,1,1,1,0,2,2,0,0,2,14,2,0,16,47,23,0,70,0,1,0,1,27,1,0,28,0,0,0,0,0,0,0,0,11,7,0,18,7,2,0,9,6,4,0,10,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,50,9,0,59,86,27,0,113,350,111,0,461
Total (Cities),Total (Cities),776,82,0,858,725,636,0,1361,234,128,0,362,34,270,0,304,126,76,0,202,69,36,0,105,262,126,0,388,319,227,0,546,32,35,0,67,6185,2366,3,8554,2892,1219,2,4113,18,3,0,21,186,66,0,252,89,19,0,108,1358,562,0,1920,1241,569,2,1812,195,120,0,315,1567,27,1,1595,107,35,0,142,29,14,0,43,709,435,0,1144,216,36,0,252,809,62,0,871,176,29,0,205,40,15,0,55,0,2,0,2,10,3,0,13,464,81,0,545,2356,754,0,3110,1948,542,1,2491,19555,6720,7,26282
